rank,name,pos,posrank,team,round12,confidence,sleeper,cost,note,case
1,Jahmyr Gibbs,RB,RB1,DET,Rd 1,High,,,Only back averaging 21+ PPR PPG in each of the last two years. David Montgomery's exit to Houston removes the goal-line cap; Detroit's O-line slipping to 13th in PFF run block is the one worry.,
2,Bijan Robinson,RB,RB2,ATL,Rd 1,High,,,"Top-three fantasy RB each of the last two seasons: 1,400+ rushing yards and 60+ catches both years. Genuine 1A/1B with Gibbs.",
3,Ja'Marr Chase,WR,WR1,CIN,Rd 1,High,,,One of only three receivers projected for 255+ half-PPR points.,
4,Puka Nacua,WR,WR2,LAR,Rd 1,High,,,Led the league at 23.4 PPR points per game in 2025.,
5,Christian McCaffrey,RB,RB3,SF,Rd 1,High,,,,
6,Jaxon Smith-Njigba,WR,WR3,SEA,Rd 1,High,,,,
7,Amon-Ra St. Brown,WR,WR4,DET,Rd 1,High,,,,
8,Jonathan Taylor,RB,RB4,IND,Rd 1,High,,,,
9,De'Von Achane,RB,RB5,MIA,Rd 1,High,,,,
10,James Cook III,RB,RB6,BUF,Rd 1,High,,,,
11,CeeDee Lamb,WR,WR5,DAL,Rd 1,High,,,,
12,Justin Jefferson,WR,WR6,MIN,Rd 1,High,,,,
13,Derrick Henry,RB,RB7,BAL,Rd 2,High,,,,
14,Ashton Jeanty,RB,RB8,LV,Rd 2,High,,,Low ankle sprain in an Aug. 23 practice. Fell seven spots to RB10 / No. 16 overall on the 8/25 4for4 update; Week 1 still unclear.,
15,Drake London,WR,WR7,ATL,Rd 2,High,,,,
16,Chase Brown,RB,RB9,CIN,Rd 2,High,,,,
17,Brock Bowers,TE,TE1,LV,Rd 2,High,,,TE1 on most boards - best offense he's played in since entering the league.,
18,Saquon Barkley,RB,RB10,PHI,Rd 2,High,,,,
19,Trey McBride,TE,TE2,ARI,Rd 2,High,,,Wore the crown as 2025's top-scoring tight end. Coin flip with Bowers.,
20,Kenneth Walker III,RB,RB11,KC,Rd 2,High,,,"Super Bowl MVP in Seattle, then 3 yr / $43.05M to Kansas City with $28.7M guaranteed. Rankers moved him up through camp.",
21,Nico Collins,WR,WR8,HOU,Rd 2,High,,,,
22,Rashee Rice,WR,WR9,KC,Rd 2,High,,,,
23,Jeremiyah Love,RB,RB12,ARI,Rd 2,High,,,"No. 3 overall to Arizona, the highest RB taken since Barkley in 2018. Each of the last nine RBs drafted top-12 finished top-12 in fantasy as a rookie.",
24,Omarion Hampton,RB,RB13,LAC,Rd 2,High,,,,
25,A.J. Brown,WR,WR10,NE,Rd 3,High,,,Traded to New England for a 2028 first and a 2027 fifth. Immediately Drake Maye's No. 1 and reunited with his first head coach.,
26,Chris Olave,WR,WR11,NO,Rd 3,High,,,,
27,Garrett Wilson,WR,WR12,NYJ,Rd 3,High,,,,
28,Breece Hall,RB,RB14,NYJ,Rd 3,High,,,,
29,Josh Jacobs,RB,RB15,GB,Rd 3,High,,,,
30,Malik Nabers,WR,WR13,NYG,Rd 3,High,,,"Had a second procedure to remove a cyclops lesion after his ACL repair. Running routes in camp, but a full Week 1 is unlikely. ADP sliding.",
31,Tetairoa McMillan,WR,WR14,CAR,Rd 3,High,,,"2025 Offensive Rookie of the Year - 1,014 yards and seven TDs, most among rookie WRs.",
32,Javonte Williams,RB,RB16,DAL,Rd 3,High,,,,
33,Zay Flowers,WR,WR15,BAL,Rd 3,High,,,,
34,DeVonta Smith,WR,WR16,PHI,Rd 3,High,,,,
35,Emeka Egbuka,WR,WR17,TB,Rd 3,High,year-two,WR18,,"A rookie star through five weeks before leveling off, which drafters have read as the ceiling rather than the calibration period. Priced as a WR2 for a player with WR1 usage in front of him."
36,Travis Etienne Jr.,RB,RB17,NO,Rd 3,High,,,,
37,Ladd McConkey,WR,WR18,LAC,Rd 4,High,,,,
38,Kyren Williams,RB,RB18,LAR,Rd 4,High,,,,
39,Davante Adams,WR,WR19,LAR,Rd 4,High,,,,
40,George Pickens,WR,WR20,DAL,Rd 4,High,,,,
41,Jaylen Waddle,WR,WR21,DEN,Rd 4,High,,,"Traded to Denver for the No. 30, No. 94 and No. 130 picks. Clear value spike with Bo Nix.",
42,Colston Loveland,TE,TE3,CHI,Rd 4,High,,,58-713-6 as a rookie with 90+ receiving yards in each of his final two regular-season games.,
43,Tyler Warren,TE,TE4,IND,Rd 4,High,,,76-817-4 as a rookie - immediately a core piece of the Colts offense.,
44,Quinshon Judkins,RB,RB19,CLE,Rd 4,High,,,2025 ended on an ankle injury and fractured fibula. ESPN still has him around RB20.,
45,Cam Skattebo,RB,RB20,NYG,Rd 4,High,,,"Coming back from a major 2025 injury, which is exactly why Tyrone Tracy is a handcuff that matters.",
46,Tee Higgins,WR,WR22,CIN,Rd 4,High,,,,
47,Bucky Irving,RB,RB21,TB,Rd 4,High,,,"Injury history, Kenny Gainwell's arrival and Sean Tucker vulturing the goal line all push him down from where the talent says he belongs.",
48,Josh Allen,QB,QB1,BUF,Rd 4,High,,,"Only QB to finish top-3 in fantasy PPG in each of the last five seasons, and hasn't missed a start. Every board has him alone in Tier 1.",
49,Terry McLaurin,WR,WR23,WAS,Rd 5,High,,,A quad injury held him to 10 games and a 38-582-3 line. Still Washington's No. 1 if healthy.,
50,Jameson Williams,WR,WR24,DET,Rd 5,High,,,,
51,Bhayshul Tuten,RB,RB22,JAX,Rd 5,High,,,,
52,Rome Odunze,WR,WR25,CHI,Rd 5,High,,,The steady one in Chicago while Luther Burden is the explosive one for Caleb Williams.,
53,DJ Moore,WR,WR26,BUF,Rd 5,High,,,"Gives Buffalo the dependable No. 1 they've been missing, and could beat his ADP.",
54,D'Andre Swift,RB,RB23,CHI,Rd 5,High,,,,
55,Harold Fannin Jr.,TE,TE5,CLE,Rd 5,High,repriced,TE6-ish cost,"72-731-6 as a 21-year-old rookie and a 22% target share, finishing TE6. Njoku's move to the Chargers clears the room entirely.","72-731-6 and a 22% target share as a 21-year-old rookie, good for TE6. Then David Njoku left for the Chargers and handed him the entire room. The Cleveland quarterback situation is the only reason he is not priced higher."
56,David Montgomery,RB,RB24,HOU,Rd 5,High,repriced,PPR RB24,,"Traded to Houston and has already established himself on top of that backfield — RB24 in ADP against RB43 for Woody Marks. The name is familiar enough that nobody is excited, which is the whole point."
57,Jadarian Price,RB,RB25,SEA,Rd 5,High,,,,
58,TreVeyon Henderson,RB,RB26,NE,Rd 5,High,,,Hard to argue past low-end RB2 as long as New England keeps featuring Rhamondre Stevenson.,
59,Kyle Pitts Sr.,TE,TE6,ATL,Rd 5,High,,,"Finally delivered: 88 catches, 928 yards, five TDs in 2025.",
60,Carnell Tate,WR,WR27,TEN,Rd 5,High,,,A bet on talent plus Cam Ward's year two under Brian Daboll. Tenth in yards per route run and a 68.8% contested-catch rate in college.,
61,Courtland Sutton,WR,WR28,DEN,Rd 6,High,,,,
62,Stefon Diggs,WR,WR29,WAS,Rd 6,High,repriced,~Round 10,"Signed with his hometown team. Led the NFL with a 15.4% catch rate over expected, caught 83.3% of his targets, 2.4 yards per route run.","Led the entire NFL in catch rate over expected at 15.4%, caught 83.3% of his targets, and ran 2.4 yards per route — fifth among everyone with 300+ routes. He has risen more than a round twice since signing in Washington and is still a round-10 pick."
63,Jayden Daniels,QB,QB2,WAS,Rd 6,High,,,,
64,Michael Pittman Jr.,WR,WR30,PIT,Rd 6,High,,,,
65,Rhamondre Stevenson,RB,RB27,NE,Rd 6,High,,,,
66,Marvin Harrison Jr.,WR,WR31,ARI,Rd 6,High,,,,
67,Jaylen Warren,RB,RB28,PIT,Rd 6,High,,,,
68,Sam LaPorta,TE,TE7,DET,Rd 6,High,,,,
69,Tucker Kraft,TE,TE8,GB,Rd 6,High,,,,
